,,
,どうやら彼は風邪をひいたらしい, Seems like he caught a cold
,彼がいなくて寂しい, Do you miss him
,顔に書いてあるよ, It’s written all over your face
,ビールをもう1杯いかが？, Would you like another beer
, 1口いかが？, Would you like a bite
,何か他にいる？, Would you like anything else
,もうちょっと遅らせてもらえる？, Can you make it a little later
,こんなに遅くお電話してごめんなさい, I’m sorry to call you so late
,ごめんどうおかけします, I’m sorry to trouble you
,お待たせしてすみません, I’m sorry to keep you waiting
,邪魔をしてすいません, I’m sorry to interrupt
,がっかりさせてごめんなさい, I’m sorry to disappoint you
,出かける時間です, It’s time to go out
,おしゃべりを止める時間よ, It’s time to stop talking
,次の休憩所で休みましょう, Let’s take a break at the next rest area
,月曜日に資格のテストがあるんじゃないの？, Don’t you have a qualification test on Monday
,テストの準備はできたの, Are you ready for the test
,旅行の準備はできたの, Are you ready for the trip
,ほんとに？, Are you sure
,私だったら勉強するわ, If it was me I would study
,失敗しても、私のせいにしないでよ, Don’t blame me if you flank the test
,なんだって, What is it?
,ほんとに, For real?
,あんまりいい考えじゃないねぇ, I don’t think that’s a good idea
,きっと忙しくなるよ, You’ll sure be busy
,私って料理できない人に見える, Do I look like a person who can’t cook
,気に入ってくれるといいんだけど, I hope you like it
,大丈夫きっとうまくいくよ, I hope everything will be OK
,お力になれるといいんですが, I hope I can be helpful
,気にしないで, Never mind
,もう帰るの, Are you leaving now
,ご家族によろしく, Say hello to your family
,彼がそんなこと言ったなんて、信じられない, I can’t believe he said that
,全然, Not at all
,またご馳走してね, Please cook for me again
,すごく楽しかった, It was really exciting
,だからみんな彼のことが好きなんだよ, That’s why everybody likes him
,そんなもんだよ, That’s the way it goes
, もしもし、ABCのブラウンと申します, Hello this is Mr. Brown from ABC company
,明日は晴れるよね, Tomorrow’s going to be sunny right
,私は都合いいよ, That’s fine with me
,彼は自分でできるのかな？, I wonder if he can do it himself
,彼は来るかなぁ, I wonder if he will come
,今日雨降るかなぁ, I wonder if it will rain today
,第2営業部から異動になりました, I was transferred from the second sales division
,あなたとご一緒できてうれしいです, I’m glad to be with you
,お越しいただいてうれしいです, I am glad to have you here
,お力になれたら嬉しいです, I’m glad to be of help
,お任せください,Leave it to me
,私が子供だって言ってんの？, Are you saying I’m a kid
,私が間違ってるって言ってんの？, Are you saying I’m wrong
,私が嘘つきだって言ってんの, Are you saying I’m a liar
,いい考えだね, Sounds like a plan
,タバコやめたほうがいいよ, You should stop smoking
,タバコを止める良い機会なんじゃない？, Isn’t this a good opportunity to stop smoking
,仕事には慣れた, Did you get used to the job
,遠慮なく質問してね, Feel free to ask questions
,いつでも電話してね, Feel free to call anytime
,いつでもお立ち寄り下さい, Feel free to drop in anytime
,いつでも連絡してね, Feel free to contact me
,頑張ってください, Give it your best shot
,残念ながら今じゃないです, Unfortunately not now
,彼女をデートに誘ってみたら？, Why don’t you ask her out
,慎重だな〜, You are so cautious
,詳しい事は知らないの, I don’t know for sure
,座ってもいいですか？, Do you mind if I sit here
,ご一緒してもいいですか？, Do you mind if I join you
,結構です、遠慮しておきます, No thank you I’d rather not
,私の髪型どう？, How do you like my hair
,日本はいかがですか？, How do you like Japan
,ここに住むのはどうですか？, How do you like living here
,何になってるつもりなの？（仮装とか）, Where are you supposed to be
,そうしてもらえるとうれしい, I’d love to
,パーティー楽しんでますか？, Are you enjoying the party
,踊りませんか？, Would you like to dance
,足元気をつけ, Watch your step
,階段が急だから, The stairs are steep
,太った？, Did you gain weight
,気持ちわかるわ, I know how you feel
,奥さん元気, How is you wife
,仕事はどう？, How is business
,彼女によろしく, Say hi to her for me
,まじで？, Are you serious
,大丈夫？, Are you OK
,怖くないの？, Aren't you scared
,気が進まないなぁ, I don’t feel like it
,またの機会に, Maybe some other time
,試合が中止になって残念, It’s a shame the game was canceled
,彼がいないのが残念だね, It’s a shame he isn’t here
,自転車を借りてもいいかな？, It’s OK if I borrow your bike
,中に入ってもいい, It’s OK if I come in
,そうだろうと思う, I guess so
,ピザを注文しない？, Why don’t we order a pizza
,ちょっと休憩しない, Why don’t we take a break
,外食しない, Why don’t we eat out
,ちょっと近くに来たもんだから, I was just nearby
,一言ご挨拶がしたかったの, I just wanted to say hi
,ちょっと声が聞きたかったの, I just wanted to hear your voice
,こんなところにいたんだ, There they are
,大丈夫よ, That’s OK
,残念だね, That's a pity
,おかしいね, That’s funny
,そんなに飲んでません, I didn’t drink that much
,気楽にね, Take it easy
,賛成じゃないの, Don’t you agree
,せかさないで, Don’t rush me
,そんなには…, Not really
,素晴らしい, Excellent
,こんな素晴らしい景色初めて見たよ, I’ve never seen such a beautiful view
,写真撮っていただけませんか？, Would you mind taking our picture
,席を代わっていただけませんか？, Would you mind changing the seats
,後でかけ直してもらえませんか？, Would you mind calling back later?
,最高の思い出になると思うよ, It will be one of our best memories
,もう一度練習を始めようと思ってるんだ, I’m planning to start playing it again
